Epoch,Train Loss,Val Loss,Train RoC,Val RoC
0,0,0.0,0.0,0.0,0.0
1,0,0.0035307952668373345,0.0015367612847573867,0.8361855915354371,0.8840178856036093
2,1,0.0028785677587772423,0.001376421047755739,0.8937315328657793,0.9078159180439491
3,2,0.0026280218756985067,0.0013225276841568848,0.9131395646645799,0.9321291007573446
4,3,0.002489622070752712,0.001268064959922416,0.9227057603691302,0.9342745056527246
5,4,0.0024108587876020588,0.001286018204135359,0.9284240045918554,0.9241861162922393
6,5,0.0023976991095825233,0.0012918827567761596,0.9288666970023365,0.9363050214914566
7,6,0.0023499345710629627,0.0013378621104024,0.9322643029814667,0.9350635272412817
8,7,0.0023147985246673853,0.001215134607397252,0.9341648082272767,0.9291468801074791
9,8,0.002268320032353386,0.0011793936819480893,0.9373093787835227,0.9330993501824019
10,9,0.002240925405522759,0.0012058952459287418,0.9388236761972635,0.9404290889381378
11,10,0.0022291992579043613,0.0011123943894055177,0.9392887964196486,0.9432098657346075
12,11,0.0022167519716787343,0.0011058750048532672,0.9400636669447154,0.9434926114039824
13,12,0.002177055108862569,0.0010932169454043385,0.9421781221781753,0.944546828930712
14,13,0.002164437136634529,0.0011245328975066705,0.9429154004308408,0.9422712137847766
15,14,0.0021322855316841453,0.0012793471190447351,0.9446023580837305,0.9434270287349987
16,15,0.002128251801539522,0.0010602457269103228,0.944938443729526,0.9468276970574155
17,16,0.002104261392646316,0.0010894041992897177,0.9461110498098876,0.9472965653862793
18,17,0.0020687122334070735,0.0010383672609545563,0.9479831191614803,0.9497016346719015
19,18,0.0020353634083819737,0.0010259811866153723,0.9498007538700755,0.9509128446920421
20,19,0.002012129949068142,0.0010864063798059862,0.9507413021999603,0.9489411065244806
21,20,0.001965711119663365,0.001031283396841139,0.9529309546321455,0.9515408146656856
22,21,0.0019519572989736861,0.001022046017442924,0.9536049354346267,0.951505834589207
23,22,0.0019235957849811597,0.0010015561328071626,0.9551925724512975,0.9531535195568077
24,23,0.0019000818993449274,0.001000416618366755,0.9559082302123023,0.9535170894984557
25,24,0.0018881586051123934,0.0010010655358972053,0.956887183196401,0.9526288184096281
26,25,0.001854759057572885,0.0009882791029741606,0.9583326964192437,0.9557754334803504
27,26,0.0018467392919566503,0.0009730696309963223,0.9586101842816013,0.9554611301310578
28,27,0.0018387700831917044,0.0009815683546992313,0.9590221403147889,0.9560914082326148
29,28,0.0018165925628627752,0.0009619581786687076,0.9597235219206427,0.9567089916306486
30,29,0.001785689708601708,0.000964007761311511,0.9614410514498357,0.9570531414615783
31,30,0.001785090766068768,0.0009680056514793461,0.9613139630464975,0.9568650688319559
32,31,0.001777328070917416,0.0009710431165531029,0.9618454961147397,0.9569325218804556
33,32,0.001767217967564524,0.0009565917487717523,0.9620991566413857,0.9575351024470533
34,33,0.0017479721122603143,0.0009644532282455339,0.9629088634145748,0.9566548700106134
35,34,0.0017321007201483397,0.0009721208888962813,0.9636754051279767,0.9562473660479955
36,35,0.001727115354856459,0.0009690308491341137,0.9636328930105806,0.9567452053617016
37,36,0.00172280069024726,0.0009473731996299453,0.963928392465956,0.9577678254132046
38,37,0.0017163671996418043,0.0009388920548266799,0.9642677858470434,0.9588170287310191
39,38,0.0017057110871869473,0.0009554307579818371,0.9648295719127467,0.9578195593147089
40,39,0.0016842178144792297,0.0009479512180504978,0.9655279393543057,0.9582694850765602
41,40,0.0016893723822828575,0.0009465886792989303,0.9653278985580602,0.9580630668095582
42,41,0.0016743903582814518,0.0009469752683793956,0.9661030019152976,0.9582894623216025
43,42,0.0016795021828909542,0.0009393551276339004,0.9657356762661008,0.9589117813613895
44,43,0.0016562704616989892,0.0009383378285612829,0.9668380632007743,0.9591857720628176
45,44,0.0016669134951529194,0.0009432325585121167,0.9663806492170766,0.9576736299171581
46,45,0.0016614867271921361,0.0009491983263965435,0.9666223138253719,0.958170195780981
47,46,0.001668483239620282,0.0009459392248547939,0.9662940938576848,0.9583051416732893
48,47,0.0016437816355998735,0.000954132627498743,0.9672157422892058,0.9581932372648048
49,48,0.0016602844161145742,0.0009449134655329779,0.9668976530517212,0.9588396324664457
50,49,0.0016478843448066128,0.0009540471179901804,0.9669972394203086,0.9573252219881816
