Epoch,Train Loss,Val Loss,Train RoC,Val RoC
0,0,0.0,0.0,0.0,0.0
1,0,0.0019270426942045375,0.0014778958291812446,0.8290908182127398,0.9013814543513982
2,1,0.0013730675953457499,0.00245134905972341,0.9046590780250973,0.659027943867921
3,2,0.0012768510599915589,0.0013529276124500016,0.9185937949214241,0.9143431446014281
4,3,0.0012275558637250032,0.0013625308537127106,0.9252775739090294,0.9298918084938311
5,4,0.0011894251644832777,0.0011887889525157955,0.9305571749764131,0.9372592334070474
6,5,0.001183373428252897,0.001185389059868841,0.9316298454399313,0.9341072061743216
7,6,0.001149831083912853,0.001471639835225401,0.9353818979061301,0.8869593558572129
8,7,0.0011418134851892572,0.0012790289121791638,0.9366302933887811,0.9256723516918378
9,8,0.0011121564035972494,0.0012276284573590165,0.939905432177001,0.9326180259218683
10,9,0.0011078439854594483,0.0012571510715311963,0.9410517282220934,0.9334460867084067
11,10,0.001092743478493807,0.0011508225619807787,0.9421592501184407,0.9384592609454012
12,11,0.0010799421946514035,0.001311098391292641,0.9436630447766633,0.9264462510630321
13,12,0.0010715349013301339,0.0011043342935908905,0.9445989693633356,0.9459156681692049
14,13,0.0010656791917511297,0.0011412642419114543,0.9453536670054543,0.9402461101080483
15,14,0.0010597236886622022,0.0012508860001561102,0.9458566401710404,0.9259583207812297
16,15,0.001050259786031675,0.0010916413740160282,0.9467290420677117,0.9473244221024737
17,16,0.001043830195264467,0.0010947021753901622,0.9475612070222181,0.9478482477528584
18,17,0.001018052117804472,0.0012161410507681475,0.9501490834510992,0.9464595108599408
19,18,0.0010068763974504283,0.0010739113123540741,0.9510266633327799,0.9486958878313507
20,19,0.0009916779613906245,0.0010760511596783265,0.9527078938204319,0.9476910164875945
21,20,0.0009841621570908028,0.0010737928499507002,0.9535672216845712,0.9466740871652568
22,21,0.0009747027748819543,0.0010208412229162109,0.9540537067893861,0.950576176379176
23,22,0.0009602014148661487,0.0010409914032500774,0.9556309321587793,0.9492482865134891
24,23,0.0009504283767931127,0.0010513139087664017,0.9565715614737669,0.9491080080497951
25,24,0.0009386126979251675,0.0010004010490141204,0.9581166433497059,0.9536090962525154
26,25,0.000927749238527814,0.0009813721453689566,0.9584185431589858,0.9547897434754596
27,26,0.0009187254409629792,0.000979467667912301,0.9596008168359931,0.954607043212532
28,27,0.0009035343729521481,0.001006260687063846,0.9604435376924915,0.9552267755572439
29,28,0.0008950404151747732,0.000980213507881164,0.9613752282767585,0.9550041208042315
30,29,0.0008842136466083699,0.0010368597101090915,0.9625676352147522,0.9544465089366334
31,30,0.0008828255017526693,0.0009930555607832756,0.9624313879024453,0.9540105115328794
32,31,0.0008736413868146063,0.0009948079990108603,0.9634614095862066,0.9554269459607562
33,32,0.00087119302509631,0.0009860318317323079,0.9634292331925541,0.9562279857325857
34,33,0.0008563026835155657,0.0009754455701569254,0.9647909344263623,0.9556108002876404
35,34,0.0008533653982976156,0.0009931342502980539,0.9648692217129159,0.9567634316131546
36,35,0.0008628913117673538,0.0009755149619289548,0.9642227809069522,0.9560422212308769
37,36,0.00084876070066242,0.0009704219571587257,0.9653171351317424,0.9557124375064419
38,37,0.0008423814493655978,0.0009464656593490559,0.965605912823586,0.9580962163018298
39,38,0.000846765683969956,0.0009714840236023576,0.9655716055094163,0.9576959152901139
40,39,0.000843345648333143,0.0009733160000841449,0.9657553733615701,0.9567116181210327
41,40,0.0008284862828965847,0.0009501380491923274,0.9667775723905587,0.957417586900021
42,41,0.0008256412348585555,0.000955442723436315,0.9670149852809575,0.957938706469404
43,42,0.0008226260086080894,0.0009656931437322983,0.9671772186881223,0.9571289117296274
44,43,0.0008265719341404768,0.0009659408987814405,0.9669214044638988,0.9571407309363559
45,44,0.0008264300296027349,0.0009681201819731613,0.9670987162848894,0.9577915434172789
46,45,0.0008211303602268135,0.0009526523461689915,0.9672397265335542,0.9580970520033156
47,46,0.0008199528027417767,0.0009544214706721653,0.9675660737207391,0.9578603893015885
48,47,0.0008220395772853712,0.0009668981876938711,0.9676908186176651,0.957550503231578
49,48,0.000812928465602733,0.0009422571716949294,0.9679512160925497,0.9588748513147772
50,49,0.0008034790691348141,0.0009833265174468686,0.9687321048230677,0.9561998902445382
51,50,0.0008107848584538637,0.0009609882977900302,0.9683115086917262,0.9577482063259419
52,51,0.000805621351686332,0.0009550075507905774,0.9685001229961249,0.9577889567222038
53,52,0.0007938026000445416,0.000989027551889754,0.9695949074542737,0.9567247903682617
54,53,0.000802878451812186,0.0009659251734568696,0.9690809101915703,0.9570154553040978
55,54,0.0008049937190799848,0.0009671028021920249,0.9685043696524523,0.95797066210241
56,55,0.0008041363023800202,0.0009750456300505216,0.9689209671443437,0.9565724539259863
57,56,0.0008023751173634282,0.0009509972180356418,0.9692802676760109,0.9581982116784109
58,57,0.0007987622430974535,0.0009831363729135793,0.9695224941184569,0.9563526246399021
59,58,0.000808709077704199,0.0009720266487437155,0.9683026003304193,0.9574426977399051
60,59,0.0008011841473737916,0.0009627435755917945,0.9688637030843176,0.9578461027857115
